block,hash,actor,action,time,ok
184920,0x8912a9b...c421,SI R. Iyer,Evidence hash added,23:00:00,True
184919,0x8913a9b...c422,PI K. Nair,Case access,22:13:07,True
184918,0x8914a9b...c423,DySP A. Rao,Chain-of-custody transfer,21:26:14,True
184917,0x8915a9b...c424,SI P. Kumar,Signature verified,20:39:21,False
184916,0x8916a9b...c425,PI L. Menon,Permission update,19:52:28,True
184915,0x8917a9b...c426,SI R. Iyer,Evidence hash added,18:05:35,True
184914,0x8918a9b...c427,PI K. Nair,Case access,17:18:42,True
184913,0x8919a9b...c428,DySP A. Rao,Chain-of-custody transfer,16:31:49,True
184912,0x8920a9b...c429,SI P. Kumar,Signature verified,15:44:56,True
184911,0x8921a9b...c430,PI L. Menon,Permission update,14:57:03,True
